# MCU Time(ns), ADC reading
5927915679940.000000,352.000000
5927916748057.000000,832.000000
5927917785655.000000,1424.000000
5927918792736.000000,2144.000000
5927919830334.000000,2784.000000
5927920837415.000000,3456.000000
5927921875000.000000,4032.000000
5927922882080.000000,4753.000000
5927923919679.000000,5249.000000
5927924926759.000000,5585.000000
5927925964358.000000,6401.000000
5927926971438.000000,6977.000000
5927927978519.000000,7665.000000
5927929016117.000000,8129.000000
5927930023198.000000,8546.000000
5927931030278.000000,8914.000000
5927932067877.000000,9714.000000
5927933074957.000000,10114.000000
5927934112556.000000,10530.000000
5927935119636.000000,11346.000000
5927936126717.000000,11810.000000
5927937164315.000000,12130.000000
5927938171396.000000,12579.000000
5927939178476.000000,13379.000000
5927940216075.000000,13811.000000
5927941223155.000000,14067.000000
5927942260754.000000,14659.000000
5927943267834.000000,15123.000000
5927944274915.000000,15555.000000
5927945312500.000000,15987.000000
5927946350098.000000,16468.000000
5927947357179.000000,17124.000000
5927948364259.000000,17188.000000
5927949401858.000000,17812.000000
5927950408938.000000,18468.000000
5927951416019.000000,18676.000000
5927952453617.000000,19220.000000
5927953460698.000000,19844.000000
5927954498296.000000,20196.000000
5927955505377.000000,20517.000000
5927956512457.000000,21141.000000
5927957550056.000000,21205.000000
5927958557136.000000,21717.000000
5927959564217.000000,22181.000000
5927960601815.000000,22581.000000
5927961608896.000000,23189.000000
5927962615976.000000,23445.000000
5927963653575.000000,23621.000000
5927964660655.000000,24261.000000
5927965698254.000000,24758.000000
5927966705334.000000,24854.000000
5927967712415.000000,25462.000000
5927968750000.000000,25830.000000
5927969787598.000000,26134.000000
5927970794679.000000,26374.000000
5927971801759.000000,26854.000000
5927972839358.000000,27398.000000
5927973846438.000000,27686.000000
5927974884037.000000,27878.000000
5927975891117.000000,28358.000000
5927976898198.000000,28743.000000
5927977935796.000000,28871.000000
5927978942877.000000,29351.000000
5927979949957.000000,29479.000000
5927980987556.000000,30135.000000
5927981994636.000000,30135.000000
5927983001717.000000,30647.000000
5927984039315.000000,30791.000000
5927985046396.000000,31207.000000
5927986083994.000000,31559.000000
5927987091075.000000,31687.000000
5927988098155.000000,32167.000000
5927989135754.000000,32535.000000
5927990142834.000000,32711.000000
5927991149915.000000,33240.000000
5927992187500.000000,33368.000000
5927993225098.000000,33928.000000
5927994232179.000000,33896.000000
5927995239259.000000,34216.000000
5927996276858.000000,34744.000000
5927997283938.000000,34888.000000
5927998291019.000000,35416.000000
5927999328617.000000,35400.000000
5928000762950.000000,35672.000000
5928001800548.000000,36104.000000
5928002807629.000000,36504.000000
5928003845227.000000,36648.000000
5928004882812.000000,36824.000000
5928005889893.000000,36921.000000
5928006896973.000000,37529.000000
5928007934572.000000,37801.000000
5928008941652.000000,37769.000000
5928009948733.000000,38025.000000
5928010986331.000000,38233.000000
5928011993412.000000,38553.000000
5928013031010.000000,38825.000000
5928014038091.000000,39225.000000
5928015045171.000000,39289.000000
5928016052252.000000,39593.000000
5928017089850.000000,40025.000000
5928018096931.000000,40329.000000
5928019104011.000000,40233.000000
5928020141610.000000,40601.000000
5928021148690.000000,40697.000000
5928022186289.000000,41178.000000
5928023193369.000000,41274.000000
5928024200450.000000,41434.000000
5928025238048.000000,41802.000000
5928026245129.000000,42074.000000
5928027252209.000000,42090.000000
5928028289808.000000,42394.000000
5928029327393.000000,42570.000000
5928030334473.000000,42874.000000
5928031341554.000000,43178.000000
5928032379152.000000,43258.000000
5928033386233.000000,43418.000000
5928034423831.000000,43818.000000
5928035430912.000000,43754.000000
5928036437992.000000,44058.000000
5928037475591.000000,44090.000000
5928038482671.000000,44570.000000
5928039489752.000000,44650.000000
